CD_CVM,QUARTER_LABEL,ID_DOC,n_attachments_matched,match_tier,files,DENOM_CIA,DT_REFER,error
022357,2014Q3,42054,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2014Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00003701930000000000000000.pdf.pdf', 'size_bytes': 756422}]",ALLOS S.A.,2014-09-30,
022357,2015Q1,46511,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2015Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123401930000000000000000.docx.pdf', 'size_bytes': 764736}]",ALLOS S.A.,2015-03-31,
022357,2015Q2,49471,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2015Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00123801930000000000000000.pdf.pdf', 'size_bytes': 815847}]",ALLOS S.A.,2015-06-30,
022357,2015Q3,51425,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2015Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00124601930000000000000000.pdf.pdf', 'size_bytes': 785180}]",ALLOS S.A.,2015-09-30,
022357,2016Q1,55846,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2016Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122001930000000000000000.docx.pdf', 'size_bytes': 451898}]",ALLOS S.A.,2016-03-31,
022357,2016Q2,58440,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2016Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00121501930000000000000000.docx.pdf', 'size_bytes': 500796}]",ALLOS S.A.,2016-06-30,
022357,2016Q3,60344,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2016Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122001930000000000000000.pdf.pdf', 'size_bytes': 290302}]",ALLOS S.A.,2016-09-30,
022357,2017Q1,65252,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2017Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122501930000000000000000.docx.pdf', 'size_bytes': 456168}]",ALLOS S.A.,2017-03-31,
022357,2017Q2,67558,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2017Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122701930000000000000000.pdf.pdf', 'size_bytes': 505079}]",ALLOS S.A.,2017-06-30,
022357,2017Q3,69554,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2017Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00122701930000000000000000.pdf.pdf', 'size_bytes': 510619}]",ALLOS S.A.,2017-09-30,
022357,2018Q1,74049,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2018Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13\\Temp\\files\\00121701930000000000000000.pdf.pdf', 'size_bytes': 466866}]",ALLOS S.A.,2018-03-31,
022357,2018Q2,76794,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2018Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00121901930000000000000000.docx.pdf', 'size_bytes': 464101}]",ALLOS S.A.,2018-06-30,
022357,2018Q3,78692,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2018Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13003\\Temp\\files\\00121801930000000000000000.pdf.pdf', 'size_bytes': 252838}]",ALLOS S.A.,2018-09-30,
022357,2019Q1,83452,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2019Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00121601930000000000000000.docx.pdf', 'size_bytes': 425586}]",ALLOS S.A.,2019-03-31,
022357,2019Q2,85720,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\022357\\2019Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15001\\Temp\\files\\00121301930000000000000000.pdf.pdf', 'size_bytes': 834433}]",ALLOS S.A.,2019-06-30,
022357,2019Q3,89445,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2019Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121501920000000000000000.pdf.pdf', 'size_bytes': 3602981}]",ALLOS S.A.,2019-09-30,
022357,2020Q1,93314,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2020Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121501920000000000000000.pdf.pdf', 'size_bytes': 1294672}]",ALLOS S.A.,2020-03-31,
022357,2020Q2,95957,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2020Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121101920000000000000000.pdf.pdf', 'size_bytes': 1292164}]",ALLOS S.A.,2020-06-30,
022357,2020Q3,98233,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2020Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122901920000000000000000.pdf.pdf', 'size_bytes': 1126761}]",ALLOS S.A.,2020-09-30,
022357,2021Q1,103921,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2021Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17001\\Temp\\files\\00122001930000000000000000.pdf.pdf', 'size_bytes': 1009197}]",ALLOS S.A.,2021-03-31,
022357,2021Q2,107526,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2021Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17001\\Temp\\files\\00122301930000000000000000.pdf.pdf', 'size_bytes': 1052733}]",ALLOS S.A.,2021-06-30,
022357,2021Q3,109686,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2021Q3\\notas_explicativas.pdf', 'original_filename': 'Aliansce Sonae - Comentário de Desempenho 3T21 (PORT) v2.pdf', 'size_bytes': 1285774}]",ALLOS S.A.,2021-09-30,
022357,2022Q1,114840,1,notes_filename_match,"[{'path': 'data\\raw\\itr\\022357\\2022Q1\\notas_explicativas.pdf', 'original_filename': 'NOTAS EXPLICATIVAS MARÇO 2022 PT.pdf', 'size_bytes': 873445}]",ALLOS S.A.,2022-03-31,
022357,2022Q2,119442,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2022Q2\\notas_explicativas.pdf', 'original_filename': 'ALSO-RI_COMENTARIO-DE-DESEMPENHO-2T22_PORT v2 compac.pdf', 'size_bytes': 4955175}]",ALLOS S.A.,2022-06-30,
022357,2022Q3,121669,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2022Q3\\notas_explicativas.pdf', 'original_filename': 'RDP5554_2022_RJO_ITR_ALSO_Set22_PT_ - Apenas Notas.pdf', 'size_bytes': 1046964}]",ALLOS S.A.,2022-09-30,
022357,2023Q1,127224,1,statements_filename_match,"[{'path': 'data\\raw\\itr\\022357\\2023Q1\\notas_explicativas.pdf', 'original_filename': 'ALSO - 1T23 Demonstrações Financeiras FINAL_PT_v1505 Apenas Notas enet.pdf', 'size_bytes': 1184984}]",ALLOS S.A.,2023-03-31,
022357,2023Q2,130344,1,statements_filename_match,"[{'path': 'data\\raw\\itr\\022357\\2023Q2\\notas_explicativas.pdf', 'original_filename': 'RDP12740_2023_RJO ALSO - 2T23 Demonstrações Financeiras _PT pdf.pdf', 'size_bytes': 1237576}]",ALLOS S.A.,2023-06-30,
022357,2023Q3,132423,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2023Q3\\notas_explicativas.pdf', 'original_filename': 'CVM3TRI2023.pdf', 'size_bytes': 14996459}]",ALLOS S.A.,2023-09-30,
022357,2024Q1,136923,1,statements_filename_match,"[{'path': 'data\\raw\\itr\\022357\\2024Q1\\notas_explicativas.pdf', 'original_filename': '2024RJ032310_ALLOS - 1T24 Demonstrações Financeiras _PT_track (VF).pdf', 'size_bytes': 352241}]",ALLOS S.A.,2024-03-31,
022357,2024Q2,140936,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2024Q2\\notas_explicativas.pdf', 'original_filename': 'ALLOS - Relatório de Resultados 2T24.pdf', 'size_bytes': 3103933}]",ALLOS S.A.,2024-06-30,
022357,2024Q3,143087,1,notes_filename_match,"[{'path': 'data\\raw\\itr\\022357\\2024Q3\\notas_explicativas.pdf', 'original_filename': 'Notas Explicativas 3 ITR 2024 ALLOS.pdf', 'size_bytes': 1047742}]",ALLOS S.A.,2024-09-30,
022357,2025Q1,147665,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2025Q1\\notas_explicativas.pdf', 'original_filename': 'ALLOS - Relatório de Resultados 1T25.pdf', 'size_bytes': 3022234}]",ALLOS S.A.,2025-03-31,
022357,2025Q2,151134,0,,[],ALLOS S.A.,2025-06-30,File is not a zip file
022357,2025Q3,153086,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\022357\\2025Q3\\notas_explicativas.pdf', 'original_filename': 'ALLOS - Relatório de Resultados 3T25 v5.pdf', 'size_bytes': 5351926}]",ALLOS S.A.,2025-09-30,
010456,2011Q1,7845,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2011Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00002101920000000000000000.pdf.pdf', 'size_bytes': 1501427}]",ALPARGATAS S.A.,2011-03-31,
010456,2011Q2,10921,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\010456\\2011Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\Aplicacao\\CVM\\EmpresasNet\\Temp\\files\\00001901930000000000000000.pdf.pdf', 'size_bytes': 411255}]",ALPARGATAS S.A.,2011-06-30,
010456,2011Q3,12761,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2011Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\Aplicacao\\CVM\\EmpresasNet\\Temp\\files\\00003401920000000000000000.pdf.pdf', 'size_bytes': 462963}]",ALPARGATAS S.A.,2011-09-30,
010456,2012Q1,16798,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2012Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\CVM\\EmpresasNet\\Temp\\files\\00001601930000000000000000.pdf.pdf', 'size_bytes': 334850}]",ALPARGATAS S.A.,2012-03-31,
010456,2012Q2,20131,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2012Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\CVM\\EmpresasNet\\Temp\\files\\00000201930000000000000000.pdf.pdf', 'size_bytes': 412386}]",ALPARGATAS S.A.,2012-06-30,
010456,2012Q3,22277,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2012Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\EmpresasNet\\Temp\\files\\00000201930000000000000000.pdf.pdf', 'size_bytes': 423371}]",ALPARGATAS S.A.,2012-09-30,
010456,2013Q1,27163,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2013Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\EmpresasNet\\Temp\\files\\00004001930000000000000000.pdf.pdf', 'size_bytes': 454244}]",ALPARGATAS S.A.,2013-03-31,
010456,2013Q2,30990,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2013Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\EmpresasNet\\Temp\\files\\00005201930000000000000000.pdf.pdf', 'size_bytes': 471184}]",ALPARGATAS S.A.,2013-06-30,
010456,2013Q3,32475,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2013Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\EmpresasNet\\Temp\\files\\00005401920000000000000000.pdf.pdf', 'size_bytes': 528069}]",ALPARGATAS S.A.,2013-09-30,
010456,2014Q1,37136,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2014Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\aplicacao\\CVM\\EmpresasNet\\Temp\\files\\00000201930000000000000000.pdf.pdf', 'size_bytes': 467366}]",ALPARGATAS S.A.,2014-03-31,
010456,2014Q2,40937,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2014Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002501930000000000000000.pdf.pdf', 'size_bytes': 475315}]",ALPARGATAS S.A.,2014-06-30,
010456,2014Q3,42147,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2014Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00004701930000000000000000.pdf.pdf', 'size_bytes': 500121}]",ALPARGATAS S.A.,2014-09-30,
010456,2015Q1,46697,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2015Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120101930000000000000000.pdf.pdf', 'size_bytes': 453048}]",ALPARGATAS S.A.,2015-03-31,
010456,2015Q2,49548,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2015Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00120601920000000000000000.pdf.pdf', 'size_bytes': 644856}]",ALPARGATAS S.A.,2015-06-30,
010456,2015Q3,51370,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2015Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125701930000000000000000.pdf.pdf', 'size_bytes': 473552}]",ALPARGATAS S.A.,2015-09-30,
010456,2016Q1,55729,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2016Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00125001920000000000000000.pdf.pdf', 'size_bytes': 399165}]",ALPARGATAS S.A.,2016-03-31,
010456,2016Q2,58600,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2016Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00129401930000000000000000.pdf.pdf', 'size_bytes': 392557}]",ALPARGATAS S.A.,2016-06-30,
010456,2016Q3,60380,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2016Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00132101930000000000000000.pdf.pdf', 'size_bytes': 401929}]",ALPARGATAS S.A.,2016-09-30,
010456,2017Q1,64749,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2017Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00133201930000000000000000.pdf.pdf', 'size_bytes': 415741}]",ALPARGATAS S.A.,2017-03-31,
010456,2017Q2,67525,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2017Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00133501930000000000000000.pdf.pdf', 'size_bytes': 408076}]",ALPARGATAS S.A.,2017-06-30,
010456,2017Q3,69829,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2017Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\Program Files (x86)\\CVM\\EmpresasNet\\Temp\\files\\00133901930000000000000000.pdf.pdf', 'size_bytes': 407522}]",ALPARGATAS S.A.,2017-09-30,
010456,2018Q1,74410,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2018Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13\\Temp\\files\\00127201930000000000000000.pdf.pdf', 'size_bytes': 386399}]",ALPARGATAS S.A.,2018-03-31,
010456,2018Q2,77955,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2018Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00124101920000000000000000.pdf.pdf', 'size_bytes': 886972}]",ALPARGATAS S.A.,2018-06-30,
010456,2018Q3,78934,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\010456\\2018Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV13002\\Temp\\files\\00128101930000000000000000.pdf.pdf', 'size_bytes': 990238}]",ALPARGATAS S.A.,2018-09-30,
010456,2019Q1,83297,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2019Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV14000\\Temp\\files\\00124701920000000000000000.pdf.pdf', 'size_bytes': 1396290}]",ALPARGATAS S.A.,2019-03-31,
010456,2019Q2,86276,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2019Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15001\\Temp\\files\\00122101930000000000000000.pdf.pdf', 'size_bytes': 510377}]",ALPARGATAS S.A.,2019-06-30,
010456,2019Q3,89185,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2019Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00121201930000000000000000.pdf.pdf', 'size_bytes': 515026}]",ALPARGATAS S.A.,2019-09-30,
010456,2020Q1,92702,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2020Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV15002\\Temp\\files\\00122401930000000000000000.pdf.pdf', 'size_bytes': 513486}]",ALPARGATAS S.A.,2020-03-31,
010456,2020Q2,95650,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2020Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV16000\\Temp\\files\\00121101920000000000000000.pdf.pdf', 'size_bytes': 1687579}]",ALPARGATAS S.A.,2020-06-30,
010456,2020Q3,98022,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2020Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00121501930000000000000000.pdf.pdf', 'size_bytes': 1749528}]",ALPARGATAS S.A.,2020-09-30,
010456,2021Q1,103330,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2021Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNetV17000\\Temp\\files\\00122301920000000000000000.pdf.pdf', 'size_bytes': 2359269}]",ALPARGATAS S.A.,2021-03-31,
010456,2021Q2,107054,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2021Q2\\notas_explicativas.pdf', 'original_filename': 'ER_2T21_ENET VF.pdf', 'size_bytes': 7105130}]",ALPARGATAS S.A.,2021-06-30,
010456,2021Q3,109305,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2021Q3\\notas_explicativas.pdf', 'original_filename': 'ER_3T21_PORT_vf_281021_sem pagina.pdf', 'size_bytes': 7276826}]",ALPARGATAS S.A.,2021-09-30,
010456,2022Q1,114366,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2022Q1\\notas_explicativas.pdf', 'original_filename': 'ER_1T22_PORT_vf_sem página.pdf', 'size_bytes': 3835053}]",ALPARGATAS S.A.,2022-03-31,
010456,2022Q2,119234,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2022Q2\\notas_explicativas.pdf', 'original_filename': 'ER_2T22_PORT_sem pagina.pdf', 'size_bytes': 5627781}]",ALPARGATAS S.A.,2022-06-30,
010456,2022Q3,121325,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\010456\\2022Q3\\notas_explicativas.pdf', 'original_filename': 'DFs set22_CVM.pdf', 'size_bytes': 2001164}]",ALPARGATAS S.A.,2022-09-30,
010456,2023Q1,125765,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2023Q1\\notas_explicativas.pdf', 'original_filename': 'ER_1T23.pdf', 'size_bytes': 2407310}]",ALPARGATAS S.A.,2023-03-31,
010456,2023Q2,129722,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2023Q2\\notas_explicativas.pdf', 'original_filename': 'ER_2T23_PORT_vf.pdf', 'size_bytes': 1842105}]",ALPARGATAS S.A.,2023-06-30,
010456,2023Q3,131940,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2023Q3\\notas_explicativas.pdf', 'original_filename': 'ER_3T23_PORT_ITR_VF.pdf', 'size_bytes': 1462305}]",ALPARGATAS S.A.,2023-09-30,
010456,2024Q1,136922,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2024Q1\\notas_explicativas.pdf', 'original_filename': 'ER_1T24_PORT.pdf', 'size_bytes': 2016777}]",ALPARGATAS S.A.,2024-03-31,
010456,2024Q2,140610,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2024Q2\\notas_explicativas.pdf', 'original_filename': 'ER_2T24_PORT.pdf', 'size_bytes': 2672752}]",ALPARGATAS S.A.,2024-06-30,
010456,2024Q3,142736,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\010456\\2024Q3\\notas_explicativas.pdf', 'original_filename': 'ER_3T24_PORT.pdf', 'size_bytes': 2190817}]",ALPARGATAS S.A.,2024-09-30,
010456,2025Q1,147169,1,notes_filename_match,"[{'path': 'data\\raw\\itr\\010456\\2025Q1\\notas_explicativas.pdf', 'original_filename': 'Notas explicativas ITR_1T25 v0805.pdf', 'size_bytes': 370458}]",ALPARGATAS S.A.,2025-03-31,
010456,2025Q2,150744,0,,[],ALPARGATAS S.A.,2025-06-30,File is not a zip file
010456,2025Q3,152778,0,,[],ALPARGATAS S.A.,2025-09-30,File is not a zip file
021490,2011Q1,8190,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\021490\\2011Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00000701930000000000000000.pdf.pdf', 'size_bytes': 692989}]",ALUPAR INVESTIMENTO S/A,2011-03-31,
021490,2011Q2,10830,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\021490\\2011Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001101930000000000000000.pdf.pdf', 'size_bytes': 528828}]",ALUPAR INVESTIMENTO S/A,2011-06-30,
021490,2011Q3,12791,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\021490\\2011Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\Arquivos de programas\\CVM\\EmpresasNet\\Temp\\files\\00001401930000000000000000.pdf.pdf', 'size_bytes': 562885}]",ALUPAR INVESTIMENTO S/A,2011-09-30,
021490,2012Q1,27925,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\021490\\2012Q1\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001501920000000000000000.pdf.pdf', 'size_bytes': 982010}]",ALUPAR INVESTIMENTO S/A,2012-03-31,
021490,2012Q2,30542,1,largest_attachment_fallback,"[{'path': 'data\\raw\\itr\\021490\\2012Q2\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00001701920000000000000000.pdf.pdf', 'size_bytes': 929004}]",ALUPAR INVESTIMENTO S/A,2012-06-30,
021490,2012Q3,24448,1,largest_attachment_fallback_content_filtered,"[{'path': 'data\\raw\\itr\\021490\\2012Q3\\notas_explicativas.pdf', 'original_filename': 'C:\\CVM\\EmpresasNet\\Temp\\files\\00002401930000000000000000.pdf.pdf', 'size_bytes': 505683}]",ALUPAR INVESTIMENTO S/A,2012-09-30,
